date,media,cost,impressions,views,completed_views,clicks,reach
2026-06-01,instagram_reels,96019,136041,20759,12836,228,
2026-06-01,x_video,76683,195715,80283,9060,412,
2026-06-01,youtube,121053,177948,65532,42862,317,
2026-06-02,instagram_reels,87359,127852,18869,11922,229,
2026-06-02,x_video,69330,175900,76527,7695,495,
2026-06-02,youtube,99636,152819,55301,37884,240,
2026-06-03,instagram_reels,82048,122711,18312,10957,223,
2026-06-03,x_video,75260,198841,81886,9212,442,
2026-06-03,youtube,108351,158437,57478,38802,194,
2026-06-04,instagram_reels,84041,124924,19531,11179,285,
2026-06-04,x_video,70088,193667,78844,8565,554,
2026-06-04,youtube,106545,165947,58482,38153,222,
2026-06-05,instagram_reels,74095,106846,15306,10096,242,
2026-06-05,x_video,61174,153803,63170,7019,369,
2026-06-05,youtube,124436,196374,69125,47769,278,
2026-06-06,instagram_reels,76696,106174,16605,9888,184,
2026-06-06,x_video,60751,152531,64295,7165,322,
2026-06-06,youtube,122352,187820,65651,44026,330,
2026-06-07,instagram_reels,79539,115439,16820,10286,190,
2026-06-07,x_video,64461,162013,65858,7627,367,
2026-06-07,youtube,129863,193891,70562,45003,317,
2026-06-08,instagram_reels,85815,125893,19800,11064,280,
2026-06-08,x_video,76582,209745,87516,9654,485,
2026-06-08,youtube,101794,159605,56765,40180,252,
2026-06-09,instagram_reels,76831,111852,16648,10527,268,
2026-06-09,x_video,74471,193916,81537,8626,499,
2026-06-09,youtube,113471,170952,62678,42435,284,
2026-06-10,instagram_reels,76583,110374,16917,9590,202,
2026-06-10,x_video,75796,204478,87673,8742,598,
2026-06-10,youtube,99803,155428,53335,36614,211,
2026-06-11,instagram_reels,72841,100840,15245,9113,221,
2026-06-11,x_video,76580,200754,86166,9252,536,
2026-06-11,youtube,106385,165986,62401,41335,230,
2026-06-12,instagram_reels,86888,131759,19930,11861,300,
2026-06-12,x_video,62446,166593,66960,7619,388,
2026-06-12,youtube,116380,173634,61855,43399,256,
2026-06-13,instagram_reels,76802,115255,18084,9937,201,
2026-06-13,x_video,63256,169619,73719,7800,390,
2026-06-13,youtube,99689,154680,54273,37351,210,
2026-06-14,instagram_reels,93768,134616,20546,11794,228,
2026-06-14,x_video,60245,161621,67258,7201,371,
2026-06-14,youtube,105695,158800,59442,37728,211,
2026-06-15,instagram_reels,92620,129189,18886,11736,270,
2026-06-15,x_video,74143,202666,84442,9521,542,
2026-06-15,youtube,121418,175247,63149,40338,215,
2026-06-16,instagram_reels,72837,106420,16096,9599,249,
2026-06-16,x_video,76277,192956,81977,8510,491,
2026-06-16,youtube,117759,185670,67693,45862,269,
2026-06-17,instagram_reels,77029,115038,17628,10082,220,
2026-06-17,x_video,66474,184130,75686,8227,475,
2026-06-17,youtube,106448,168645,59993,42482,255,
2026-06-18,instagram_reels,87838,125152,18397,11056,275,
2026-06-18,x_video,70871,183661,76867,8216,406,
2026-06-18,youtube,119304,172631,64389,39407,281,
2026-06-19,instagram_reels,76433,115718,17285,10933,277,
2026-06-19,x_video,61307,161767,70667,7495,350,
2026-06-19,youtube,126979,188958,68276,44292,299,
2026-06-20,instagram_reels,74378,112599,16405,9895,264,
2026-06-20,x_video,77216,212002,89178,9666,495,
2026-06-20,youtube,98990,156046,55810,37277,276,
2026-06-21,instagram_reels,94523,131963,20545,11721,227,
2026-06-21,x_video,75876,193511,83315,8858,430,
2026-06-21,youtube,126853,185239,65108,44459,242,
2026-06-22,instagram_reels,85382,119745,18327,10897,286,
2026-06-22,x_video,78166,212080,84837,9300,524,
2026-06-22,youtube,123100,179123,66873,42123,283,
2026-06-23,instagram_reels,82915,118344,16877,10988,217,
2026-06-23,x_video,74772,190119,76439,8482,499,
2026-06-23,youtube,110624,165805,57617,40837,252,
2026-06-24,instagram_reels,90738,129390,20260,11219,218,
2026-06-24,x_video,76221,206903,88605,9305,464,
2026-06-24,youtube,104184,153575,55454,35017,214,
2026-06-25,instagram_reels,91312,137749,20772,12115,287,
2026-06-25,x_video,58644,151954,60665,7009,420,
2026-06-25,youtube,132130,210302,78957,52383,357,
2026-06-26,instagram_reels,75836,107566,15656,9810,194,
2026-06-26,x_video,73249,200654,83643,8736,593,
2026-06-26,youtube,110497,170705,58737,42517,301,
2026-06-27,instagram_reels,73491,106630,16642,9928,178,
2026-06-27,x_video,64952,170619,68436,7485,485,
2026-06-27,youtube,101997,161221,57958,37026,267,
2026-06-28,instagram_reels,81871,119567,17534,10226,265,
2026-06-28,x_video,77235,204138,88322,9340,609,
2026-06-28,youtube,102135,150742,52250,36088,230,
2026-06-29,instagram_reels,81683,116779,17099,10763,238,
2026-06-29,x_video,74596,194449,85343,9092,508,
2026-06-29,youtube,128306,199080,74337,47411,264,
2026-06-30,instagram_reels,82789,120858,17239,10415,278,
2026-06-30,x_video,75878,195394,82104,9083,497,
2026-06-30,youtube,119823,180839,66598,42104,250,
